files;accuracy;mean(f1);mean(prec);mean(recall);f1_BU-E-MAIL;f1_BU-NAME-VERSAND;f1_BU-ORT;f1_BU-PLZ;f1_BU-STRASSE;f1_Fällig am;f1_MWSTProzent;f1_NAME;f1_NONE;f1_ProvisionBrutto;f1_ProvisionNetto;f1_ProvisionSteuerfrei;f1_ProvisionSteuern;f1_Rechnungsnr.;f1_Reisedatum;f1_Reisender;f1_ReisepreisBrutto;f1_ReisepreisNetto;f1_Ver-Kdnr;precision_BU-E-MAIL;precision_BU-NAME-VERSAND;precision_BU-ORT;precision_BU-PLZ;precision_BU-STRASSE;precision_Fällig am;precision_MWSTProzent;precision_NAME;precision_NONE;precision_ProvisionBrutto;precision_ProvisionNetto;precision_ProvisionSteuerfrei;precision_ProvisionSteuern;precision_Rechnungsnr.;precision_Reisedatum;precision_Reisender;precision_ReisepreisBrutto;precision_ReisepreisNetto;precision_Ver-Kdnr;recall_BU-E-MAIL;recall_BU-NAME-VERSAND;recall_BU-ORT;recall_BU-PLZ;recall_BU-STRASSE;recall_Fällig am;recall_MWSTProzent;recall_NAME;recall_NONE;recall_ProvisionBrutto;recall_ProvisionNetto;recall_ProvisionSteuerfrei;recall_ProvisionSteuern;recall_Rechnungsnr.;recall_Reisedatum;recall_Reisender;recall_ReisepreisBrutto;recall_ReisepreisNetto;recall_Ver-Kdnr
00000005547528;0.8947368421052632;0.5654070190767438;0.508011583011583;0.7210081585081585;-1.0;1.0;0.6666666666666666;1.0;0.5714285714285715;-1.0;0.6;0.6666666666666666;0.9467889908256881;1.0;0.0;-1.0;0.0;-1.0;-1.0;-1.0;0.33333333333333337;-1.0;0.0;-1.0;1.0;0.5;1.0;0.4;-1.0;0.5;0.5;0.9961389961389961;1.0;0.0;-1.0;0.0;-1.0;-1.0;-1.0;0.2;-1.0;0.0;-1.0;1.0;1.0;1.0;1.0;-1.0;0.75;1.0;0.9020979020979021;1.0;0.0;-1.0;0.0;-1.0;-1.0;-1.0;1.0;-1.0;0.0
00000005592221;0.875968992248062;0.6447581789794904;0.559455981540646;0.9337368094351334;-1.0;1.0;0.33333333333333337;1.0;0.25;-1.0;0.2857142857142857;0.5714285714285715;0.9299552906110283;0.4;1.0;-1.0;0.5;-1.0;-1.0;-1.0;0.6666666666666666;-1.0;0.8;-1.0;1.0;0.2;1.0;0.2;-1.0;0.16666666666666666;0.4;0.9968051118210862;0.25;1.0;-1.0;0.3333333333333333;-1.0;-1.0;-1.0;0.5;-1.0;0.6666666666666666;-1.0;1.0;1.0;1.0;0.3333333333333333;-1.0;1.0;1.0;0.8715083798882681;1.0;1.0;-1.0;1.0;-1.0;-1.0;-1.0;1.0;-1.0;1.0
00000005567787;0.7687861271676301;0.46682094479928415;0.47367831541218636;0.4909041394335512;-1.0;0.8;0.4615384615384615;1.0;0.0;-1.0;0.0;0.0;0.8736462093862815;0.0;0.8;-1.0;1.0;-1.0;-1.0;-1.0;0.6666666666666666;-1.0;0.0;-1.0;0.6666666666666666;0.375;1.0;0.0;-1.0;0.0;0.0;0.9758064516129032;0.0;0.6666666666666666;-1.0;1.0;-1.0;-1.0;-1.0;1.0;-1.0;0.0;-1.0;1.0;0.6;1.0;0.0;-1.0;0.0;0.0;0.7908496732026143;0.0;1.0;-1.0;1.0;-1.0;-1.0;-1.0;0.5;-1.0;0.0
07010000421348;0.884765625;0.43159761168326477;0.3570719954648525;0.6990365111561866;-1.0;0.2222222222222222;0.5;1.0;0.4;-1.0;0.5;0.0;0.937901498929336;0.0;0.6666666666666666;-1.0;0.2857142857142857;-1.0;-1.0;-1.0;0.6666666666666666;-1.0;0.0;-1.0;0.125;0.3333333333333333;1.0;0.3333333333333333;-1.0;0.3333333333333333;0.0;0.9931972789115646;0.0;0.5;-1.0;0.16666666666666666;-1.0;-1.0;-1.0;0.5;-1.0;0.0;-1.0;1.0;1.0;1.0;0.5;-1.0;1.0;0.0;0.8884381338742393;0.0;1.0;-1.0;1.0;-1.0;-1.0;-1.0;1.0;-1.0;0.0
07010000450165;0.7814207650273224;0.16342760265295475;0.1380002532928065;0.42369281045751633;-1.0;0.2285714285714286;0.0;0.5;0.07999999999999999;-1.0;0.0;0.0;0.8763693270735524;0.0;0.14285714285714285;-1.0;0.13333333333333333;-1.0;-1.0;-1.0;0.0;-1.0;0.0;-1.0;0.13333333333333333;0.0;0.3333333333333333;0.041666666666666664;-1.0;0.0;0.0;0.9929078014184397;0.0;0.08333333333333333;-1.0;0.07142857142857142;-1.0;-1.0;-1.0;0.0;-1.0;0.0;-1.0;0.8;0.0;1.0;1.0;-1.0;0.0;0.0;0.7843137254901961;0.0;0.5;-1.0;1.0;-1.0;-1.0;-1.0;0.0;-1.0;0.0
00000005592274;0.9265536723163842;0.6992718446601941;0.625;0.9099378881987578;-1.0;0.6666666666666666;0.4;1.0;0.6666666666666666;-1.0;0.4;0.0;0.9579288025889967;1.0;0.8;-1.0;1.0;-1.0;-1.0;-1.0;0.5;-1.0;1.0;-1.0;0.5;0.25;1.0;0.5;-1.0;0.25;0.0;1.0;1.0;0.6666666666666666;-1.0;1.0;-1.0;-1.0;-1.0;0.3333333333333333;-1.0;1.0;-1.0;1.0;1.0;1.0;1.0;-1.0;1.0;0.0;0.9192546583850931;1.0;1.0;-1.0;1.0;-1.0;-1.0;-1.0;1.0;-1.0;1.0
00000005576654;0.7696969696969697;0.5238756613756614;0.5452380952380952;0.6885198135198135;-1.0;0.5714285714285715;0.5;1.0;0.25;-1.0;0.4;0.0;0.8650793650793651;0.0;0.5;-1.0;0.8;-1.0;-1.0;-1.0;0.4;-1.0;1.0;-1.0;0.4;0.5;1.0;0.14285714285714285;-1.0;0.25;0.0;1.0;0.0;1.0;-1.0;1.0;-1.0;-1.0;-1.0;0.25;-1.0;1.0;-1.0;1.0;0.5;1.0;1.0;-1.0;1.0;0.0;0.7622377622377622;0.0;0.3333333333333333;-1.0;0.6666666666666666;-1.0;-1.0;-1.0;1.0;-1.0;1.0
07010000450102;0.9171483622350675;0.5290093404687577;0.41648550724637684;0.7985695276114438;-1.0;0.7499999999999999;0.6666666666666666;0.6666666666666666;0.5714285714285715;-1.0;0.5;0.0;0.95525494276795;0.0;0.5714285714285715;-1.0;0.6666666666666666;-1.0;-1.0;-1.0;0.5;-1.0;0.5;-1.0;0.6;0.5;0.5;0.5;-1.0;0.3333333333333333;0.0;0.9978260869565218;0.0;0.4;-1.0;0.5;-1.0;-1.0;-1.0;0.3333333333333333;-1.0;0.3333333333333333;-1.0;1.0;1.0;1.0;0.6666666666666666;-1.0;1.0;0.0;0.9161676646706587;0.0;1.0;-1.0;1.0;-1.0;-1.0;-1.0;1.0;-1.0;1.0
00000005571859;0.7518796992481203;0.34259259259259256;0.31485615079365076;0.48125;-1.0;1.0;0.5;1.0;0.0;-1.0;0.25;0.0;0.8611111111111113;0.0;0.0;-1.0;0.5;-1.0;-1.0;-1.0;0.0;-1.0;0.0;-1.0;1.0;0.3333333333333333;1.0;0.0;-1.0;0.14285714285714285;0.0;0.96875;0.0;0.0;-1.0;0.3333333333333333;-1.0;-1.0;-1.0;0.0;-1.0;0.0;-1.0;1.0;1.0;1.0;0.0;-1.0;1.0;0.0;0.775;0.0;0.0;-1.0;1.0;-1.0;-1.0;-1.0;0.0;-1.0;0.0
00000005558159;0.888095238095238;0.6349259901891481;0.5319033935413245;0.9485793044953349;-1.0;0.33333333333333337;0.4;0.8;0.4;-1.0;0.4;0.6666666666666666;0.9365721997300944;0.6666666666666666;1.0;-1.0;1.0;-1.0;-1.0;-1.0;0.4444444444444445;-1.0;0.5714285714285715;-1.0;0.2;0.25;0.6666666666666666;0.25;-1.0;0.3333333333333333;0.5;0.9971264367816092;0.5;1.0;-1.0;1.0;-1.0;-1.0;-1.0;0.2857142857142857;-1.0;0.4;-1.0;1.0;1.0;1.0;1.0;-1.0;0.5;1.0;0.8829516539440203;1.0;1.0;-1.0;1.0;-1.0;-1.0;-1.0;1.0;-1.0;1.0
